Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
TRMT1	22	13	84	24	162	2	12	127	7	75	128	7	8	90
TRMT10A	40	14	164	26	131	3	19	96	9	67	137	8	5	125
TRMT10B	38	42	71	41	144	9	41	116	30	82	117	42	24	117
TRMT10C	40	32	265	40	362	3	25	272	12	138	247	14	14	230
TRMT11	56	14	68	29	197	8	28	247	9	178	207	2	22	169
TRMT112	94	51	682	83	561	27	25	629	18	310	537	40	43	379
TRMT12	39	13	197	46	365	7	21	269	16	161	220	20	32	197
TRMT13	99	56	314	79	391	15	48	383	16	220	424	31	32	313
TRMT1L	93	71	338	77	332	17	55	403	31	217	294	18	49	274
TRMT2A	37	30	153	34	200	2	21	164	22	120	170	29	15	130
TRMT2B	60	30	141	84	204	20	52	214	57	112	175	60	41	165
TRMT44	37	20	95	36	159	5	46	161	19	98	104	8	12	144
TRMT5	92	70	374	79	366	4	49	325	35	223	302	12	31	338
TRMT6	46	16	154	35	312	12	25	197	19	115	161	3	8	114
TRMT61A	6	11	30	16	62	1	14	52	9	20	45	13	4	41
TRMT61B	43	15	87	24	197	7	21	135	15	84	159	4	12	113
TRMU	25	31	106	31	152	0	13	128	11	80	130	18	7	94
TRNAU1AP	22	24	67	20	97	2	18	120	20	46	73	21	14	71
TRNP1	5	10	23	15	27	6	9	43	14	11	36	22	12	12
TRNT1	79	31	887	124	532	18	34	400	14	366	412	12	23	402
TRO	63	76	18	18	97	5	37	177	15	42	98	8	9	42
TROAP	20	2	7	1	7	2	1	2	8	5	24	9	7	3
TROVE2	303	117	1468	283	1775	52	195	1783	133	1076	1705	99	153	1627
TRPA1	36	2	0	1	3	3	1	5	4	1	3	3	3	0
TRPC1	61	23	82	40	252	5	42	361	40	64	235	18	36	110
TRPC3	24	0	1	1	8	3	2	17	8	3	8	3	6	1
TRPC4	40	80	92	45	192	10	32	395	35	113	325	28	24	126
TRPC4AP	147	155	523	166	768	14	81	649	61	436	605	41	49	581
TRPC5	23	0	0	0	0	3	1	8	4	0	0	21	0	0
TRPC5OS	11	0	0	0	1	0	0	0	2	0	0	0	0	0
TRPC6	48	34	12	8	82	0	17	211	3	25	38	9	1	76
TRPC7	21	0	1	0	0	2	1	1	3	0	5	4	3	10
TRPM1	45	1	0	1	2	3	4	0	8	0	0	3	2	0
TRPM2	29	13	9	11	35	1	9	39	16	19	40	12	8	27
TRPM3	54	8	3	12	15	9	13	31	22	6	16	38	6	15
TRPM4	142	125	668	202	1265	21	148	439	62	720	487	146	102	1052
TRPM5	10	0	3	0	0	0	0	0	2	0	1	5	0	0
TRPM6	87	12	21	4	90	9	9	79	14	43	48	19	9	43
TRPM7	365	269	1384	403	2260	49	287	1809	179	1320	1448	145	207	1755
TRPM8	725	307	5097	749	10750	92	260	5798	179	10888	6377	175	280	5961
TRPS1	567	450	1129	468	2095	142	516	2702	304	822	1881	213	352	1285
TRPT1	27	35	222	44	189	4	19	158	21	112	213	14	13	156
TRPV1	38	24	44	38	59	14	36	109	25	94	81	38	18	72
TRPV2	25	17	13	7	44	7	7	62	7	8	28	15	2	29
TRPV3	32	4	6	6	2	3	6	10	4	3	7	13	7	2
TRPV4	21	6	9	2	33	1	7	63	4	11	31	18	6	4
TRPV5	7	0	1	0	22	1	0	2	1	4	0	6	2	1
TRPV6	149	57	465	113	3078	9	59	685	63	872	682	56	44	832
TRRAP	453	467	1216	593	1250	44	287	1311	216	1274	1351	242	153	1268
TRUB1	87	37	416	82	487	5	51	459	35	264	495	5	40	390
TRUB2	25	14	159	26	208	1	20	145	13	114	138	22	22	188
TSACC	7	0	0	0	0	7	4	1	2	0	2	4	2	0
TSC1	251	245	745	290	1198	45	182	1058	124	939	920	144	154	1011
TSC2	99	99	334	186	405	12	82	394	63	320	504	118	59	328
TSC22D1	635	374	4031	1278	6002	99	655	6216	323	3768	5428	297	253	5070
TSC22D2	78	78	167	124	311	16	132	334	75	216	222	45	107	254
TSC22D3	463	434	516	161	602	50	124	779	215	839	1225	136	138	1013
TSC22D4	42	48	172	57	149	10	41	131	34	122	123	54	27	133
TSEN15	62	9	245	44	238	17	58	282	40	149	277	26	50	187
TSEN2	69	31	102	42	136	6	43	137	29	98	134	25	35	95
TSEN34	37	9	142	23	244	7	14	180	12	105	154	16	13	163
TSEN54	17	13	26	16	52	2	8	45	8	37	51	17	2	27
TSFM	42	32	202	33	300	4	25	189	15	128	173	23	13	149
TSG101	67	41	499	64	479	5	25	397	24	230	352	8	17	347
TSGA10	35	1	109	25	269	10	19	236	16	165	165	9	32	183
TSGA10IP	4	0	0	0	0	0	1	1	3	0	0	8	1	0
TSGA13	16	0	0	0	0	0	0	0	2	0	0	8	1	0
TSHB	4	0	0	0	0	0	2	0	0	0	0	0	0	0
TSHR	23	0	1	2	4	0	7	3	11	3	8	14	5	2
TSHZ1	96	100	596	213	429	45	149	631	88	408	406	66	93	589
TSHZ2	202	256	125	120	358	50	158	533	118	175	378	109	87	240
TSHZ3	99	142	163	81	282	24	124	492	90	311	271	67	96	461
TSKS	15	0	1	0	1	0	0	2	3	0	2	1	0	0
TSKU	24	37	154	42	191	17	98	206	42	134	148	81	43	144
TSLP	33	23	7	10	47	4	14	76	4	13	55	2	5	25
TSN	131	72	542	130	843	32	96	772	65	339	667	28	67	546
TSNARE1	23	14	37	13	57	8	12	47	11	37	56	23	11	51
TSNAX	104	109	646	125	746	52	125	567	53	265	625	65	127	478
TSNAXIP1	24	1	4	0	7	5	3	11	0	5	13	3	0	4
TSPAN1	177	82	2948	613	1714	14	180	1030	63	1917	1828	46	129	2764
TSPAN10	0	2	2	1	3	0	1	5	1	2	2	2	0	3
TSPAN11	27	26	13	19	35	8	18	52	21	25	32	30	9	20
TSPAN12	30	25	161	25	383	12	8	176	13	80	77	19	17	200
TSPAN13	138	45	2017	310	2045	10	111	1012	44	836	1277	33	78	1266
TSPAN14	116	131	517	174	511	67	156	421	136	333	483	195	149	500
TSPAN15	30	8	48	17	451	5	44	345	16	69	113	40	32	105
TSPAN16	4	0	0	0	0	0	0	0	2	0	0	6	0	0
TSPAN17	23	18	101	35	152	6	13	136	20	68	111	29	13	101
TSPAN18	42	111	54	37	109	27	86	275	56	73	197	97	53	68
TSPAN19	8	0	0	0	60	0	1	2	0	2	1	3	2	6
TSPAN2	52	16	132	59	449	11	63	611	45	106	326	11	43	111
TSPAN3	236	165	926	199	1358	118	279	1182	155	518	970	212	324	1013
TSPAN31	66	39	273	46	412	13	45	325	18	171	299	21	26	281
TSPAN32	3	0	1	2	3	2	2	1	2	1	1	6	0	1
TSPAN33	39	41	83	35	120	9	14	110	24	95	83	36	14	86
TSPAN4	11	6	16	12	64	3	15	76	15	31	44	14	8	34
TSPAN5	42	17	62	23	210	3	38	247	26	68	171	9	19	105
TSPAN6	114	30	1029	128	948	15	97	723	46	299	679	34	56	793
TSPAN7	9	36	25	20	84	7	18	127	9	33	89	25	22	45
TSPAN8	91	7	731	57	2749	15	66	1418	14	390	332	5	18	784
TSPAN9	87	96	333	97	317	43	110	390	88	219	370	125	90	383
TSPEAR	20	0	0	0	0	0	3	0	2	0	0	13	2	0
TSPO	18	1	20	5	130	0	4	59	4	68	85	17	4	37
TSPO2	4	0	0	0	0	0	1	0	1	0	0	2	1	0
TSPY1	16	0	0	0	0	0	1	0	0	0	0	5	0	0
TSPY10	5	0	0	0	0	1	0	0	4	0	0	4	0	0
TSPY2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TSPY3	9	0	0	0	0	0	5	0	2	0	0	4	0	0
TSPY4	5	0	0	0	0	0	1	0	2	0	0	5	0	0
TSPY8	38	0	0	0	0	0	0	0	7	0	0	3	1	0
TSPYL1	378	485	1252	298	2263	200	580	2088	333	1377	1955	479	560	2077
TSPYL2	255	409	980	241	1113	28	124	1775	55	470	1014	73	100	591
TSPYL4	103	92	242	92	471	57	154	500	83	243	457	90	146	396
TSPYL5	68	45	465	98	713	51	119	617	70	280	522	86	129	534
TSPYL6	16	1	1	3	1	4	2	0	3	1	0	2	4	0
TSR1	140	74	358	71	805	17	81	635	57	402	587	39	37	578
TSR2	56	85	213	47	396	28	40	265	45	188	218	72	43	231
TSR3	64	28	274	26	310	5	27	243	9	188	235	37	10	235
TSSC1	21	24	119	20	148	0	8	83	7	86	128	11	4	94
TSSC4	16	20	66	13	82	7	10	69	10	54	57	21	4	59
TSSK2	4	0	0	0	0	0	2	3	4	0	1	0	0	1
TSSK3	3	5	0	0	2	0	0	3	1	0	0	4	0	1
TSSK4	8	6	1	4	2	1	1	3	4	1	0	11	3	0
TSSK6	4	0	2	1	6	2	0	2	4	5	4	6	0	5
TST	11	8	31	6	64	0	3	33	5	26	41	3	4	42
TSTA3	38	11	289	46	327	4	20	201	6	110	219	6	11	142
TSTD1	44	9	476	75	328	2	29	245	25	172	271	29	25	275
TSTD2	98	102	361	108	540	24	91	491	60	338	502	63	69	390
TSTD3	44	44	42	39	85	12	33	104	22	143	110	15	33	165
TTBK1	38	4	1	0	2	5	1	8	9	3	7	24	5	4
TTBK2	133	155	275	106	707	34	128	654	87	296	364	48	109	357
TTC1	87	44	491	77	474	2	29	470	34	230	384	33	25	342
TTC12	123	50	326	78	428	5	30	269	34	248	258	34	11	248
TTC13	64	48	132	48	155	1	33	207	27	108	165	23	15	154
TTC14	221	165	845	233	1172	42	184	1183	66	753	1352	31	96	1000
TTC16	13	0	1	1	2	1	2	6	3	0	1	9	1	1
TTC17	344	179	1358	313	1722	34	164	1433	92	1107	1500	71	72	1715
TTC18	90	24	134	51	215	9	17	138	16	206	128	10	26	293
TTC19	185	97	1024	293	1210	63	233	1045	139	720	1236	103	165	1154
TTC21A	43	31	28	17	63	6	8	64	14	38	65	9	13	40
TTC21B	249	67	817	261	1573	29	87	1055	57	816	995	51	65	973
TTC22	34	5	31	7	54	0	8	43	14	34	33	11	2	51
TTC23	66	56	74	43	304	3	37	286	20	171	202	17	22	173
TTC23L	21	8	9	2	10	0	1	5	3	3	6	4	2	3
TTC24	10	0	0	0	0	1	0	0	3	0	1	3	1	0
TTC25	20	14	8	2	9	0	2	14	4	12	24	9	1	10
TTC26	43	3	56	19	77	0	5	67	8	39	91	3	2	51
TTC27	59	19	182	41	450	8	25	304	11	151	283	19	21	286
TTC28	257	301	301	203	442	62	247	773	145	337	586	147	142	372
TTC29	24	1	0	1	4	6	0	1	2	0	1	1	0	0
TTC3	1704	772	5281	1634	7777	297	1255	6909	743	5490	8112	585	861	7866
TTC30A	50	18	194	33	175	3	18	183	16	170	200	9	13	268
TTC30B	33	3	100	14	74	0	10	75	7	70	113	3	1	102
TTC31	37	64	65	34	100	37	58	117	36	95	109	71	21	68
TTC32	21	0	57	4	108	0	7	92	5	49	79	1	15	48
TTC33	79	24	261	48	393	9	49	461	25	188	315	18	29	302
TTC34	4	0	0	0	0	1	0	0	1	0	0	0	0	0
TTC36	1	3	13	0	3	0	0	1	0	1	3	1	0	13
TTC37	453	123	2987	483	3367	40	234	2653	177	2038	3070	154	124	3093
TTC38	74	52	710	126	588	11	59	366	35	354	621	28	49	591
TTC39A	104	26	336	70	782	11	65	371	41	544	425	31	49	696
TTC39B	53	3	74	45	136	5	47	190	27	67	133	22	28	79
TTC39C	65	24	236	82	158	11	56	288	44	207	316	45	45	205
TTC4	56	36	162	33	227	2	23	172	16	90	158	27	14	147
TTC40	38	5	4	0	1	1	2	5	9	0	2	14	1	1
TTC5	69	19	192	29	210	4	14	148	16	145	230	13	10	158
TTC6	80	49	244	71	192	6	23	148	16	250	201	7	17	276
TTC7A	50	66	63	46	164	9	41	225	42	90	147	41	27	71
TTC7B	84	61	73	36	339	19	64	233	37	360	184	41	58	359
TTC8	127	5	413	65	571	6	27	433	18	330	516	14	19	439
TTC9	41	35	100	29	142	12	26	100	27	79	94	38	32	153
TTC9B	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TTC9C	30	18	71	20	105	8	8	91	8	42	72	13	12	60
TTF1	81	54	257	63	267	11	33	241	31	144	246	31	18	198
TTF2	68	40	119	49	232	3	29	180	28	119	138	29	12	134
TTI1	84	71	345	100	439	5	81	431	45	258	338	33	32	356
TTI2	44	8	159	27	137	3	9	129	12	73	90	14	15	115
TTK	32	0	43	5	36	0	2	17	10	27	47	1	6	28
TTL	71	35	174	78	421	46	100	395	53	224	287	50	62	205
TTLL1	36	5	44	17	68	2	19	71	13	46	93	13	2	51
TTLL10	5	4	5	1	2	0	1	7	5	0	3	9	2	0
TTLL11	26	23	46	15	57	3	19	43	17	41	75	11	11	44
TTLL12	69	106	317	77	584	16	70	309	47	403	616	80	60	488
TTLL13	21	1	0	0	0	0	2	4	5	4	2	12	0	0
TTLL2	14	0	0	0	0	0	0	0	3	0	0	10	0	0
TTLL3	19	57	54	17	147	12	13	206	4	91	186	26	10	102
TTLL4	97	49	61	42	197	5	58	158	29	148	149	36	29	113
TTLL5	160	159	258	148	592	26	128	612	92	343	575	98	90	392
TTLL6	39	1	7	1	23	0	2	7	3	4	5	11	3	6
TTLL7	102	44	171	74	698	12	87	621	50	315	345	24	47	438
TTLL8	18	0	0	0	0	1	1	0	8	0	0	2	3	0
TTLL9	10	0	0	0	1	0	0	3	2	0	0	2	0	0
TTN	1053	480	119	298	1220	154	5336	338	187	427	271	139	204	2420
TTPA	13	0	3	0	2	0	0	1	1	0	3	0	0	4
TTPAL	86	55	161	63	235	23	74	220	52	166	162	61	49	243
TTR	7	1	4	0	2	1	0	1	0	1	3	7	1	0
TTYH1	2	0	3	0	10	4	4	10	1	4	1	6	1	0
TTYH2	41	24	30	24	74	7	20	68	16	37	58	35	13	35
TTYH3	31	90	148	72	177	26	80	146	52	133	137	133	73	100
TUB	111	174	269	108	263	63	120	341	113	226	356	145	92	324
TUBA1A	122	152	313	77	579	32	101	916	30	189	551	72	80	260
TUBA1B	212	246	1273	174	2069	63	262	1849	103	702	1567	234	158	1041
TUBA1C	56	113	482	60	776	34	46	330	26	239	291	29	48	327
TUBA3C	8	0	0	0	0	0	1	0	7	0	0	4	0	0
TUBA3D	10	0	6	2	2	0	6	3	4	17	18	6	2	15
TUBA3E	7	0	0	0	0	0	0	3	0	0	1	1	0	0
TUBA4A	39	32	82	17	238	2	7	225	17	73	141	11	2	46
TUBA8	18	9	3	5	4	0	6	11	3	5	12	5	4	8
TUBAL3	8	0	1	0	1	0	0	0	3	0	1	5	0	0
TUBB	548	391	4884	735	3158	135	457	3281	248	1975	3862	356	373	2509
TUBB1	23	7	1	0	4	0	1	2	2	0	0	1	0	1
TUBB2A	16	8	445	31	102	0	1	107	6	186	102	18	6	344
TUBB2B	12	0	49	3	16	0	5	39	1	12	16	2	0	14
TUBB3	12	5	92	9	11	5	4	35	5	23	108	9	2	7
TUBB4A	20	3	34	7	2	11	7	4	14	16	17	25	7	29
TUBB4B	293	162	2535	274	1239	19	51	1006	32	640	1212	45	40	1037
TUBB6	76	66	225	37	469	7	84	642	26	131	367	29	51	181
TUBB8	3	0	0	0	4	0	0	0	3	1	0	2	0	2
TUBD1	46	40	134	30	162	3	15	191	16	79	176	20	7	88
TUBE1	47	11	67	22	179	6	25	247	20	104	218	13	27	123
TUBG1	60	32	213	38	398	3	32	212	11	157	258	37	25	154
TUBG2	43	37	71	24	209	14	36	198	36	125	151	19	40	103
TUBGCP2	118	81	449	100	609	5	46	472	51	401	525	51	33	534
TUBGCP3	90	67	216	78	300	8	48	330	44	228	264	33	29	257
TUBGCP4	62	29	82	34	143	5	39	110	26	76	95	39	29	102
TUBGCP5	111	55	386	94	464	10	45	349	32	296	437	30	23	374
TUBGCP6	112	206	321	109	573	19	89	477	40	295	581	95	32	379
TUFM	156	51	619	124	1216	15	51	640	25	432	683	46	34	706
TUFT1	36	25	231	58	531	10	28	240	34	182	229	25	57	385
TULP1	12	268	2	9	2	24	42	1	34	0	2	174	60	1
TULP2	13	0	0	1	0	0	0	0	9	0	1	2	2	2
TULP3	104	110	422	187	434	81	246	473	127	230	496	112	179	366
TULP4	288	266	868	413	1309	153	356	1101	248	919	1089	236	298	1339
TUSC1	10	24	88	13	67	7	10	70	6	19	81	11	10	63
TUSC2	26	12	111	22	151	5	20	115	15	69	105	20	19	108
TUSC3	159	76	941	128	1078	16	78	858	54	1074	772	12	107	2148
TUSC5	9	0	0	0	0	0	0	0	3	0	0	13	2	0
TUT1	28	51	133	52	172	9	39	103	22	107	123	32	30	138
TWF1	304	57	1816	287	2640	36	188	1841	102	837	1622	37	121	1404
TWF2	22	17	37	12	138	3	5	110	10	37	94	5	11	56
TWIST1	11	18	206	34	9	0	4	15	5	4	44	5	3	9
TWIST2	5	9	6	3	21	0	4	38	4	9	19	5	0	15
TWISTNB	87	52	921	159	837	30	84	699	48	351	574	31	89	505
TWSG1	144	71	421	96	955	42	108	901	95	361	675	63	115	588
TXK	30	1	11	11	15	5	3	9	6	9	13	3	3	17
TXLNA	252	285	1059	264	1741	63	258	1374	128	875	1231	282	198	1014
TXLNB	32	7	141	48	69	2	33	55	8	82	35	10	12	125
TXLNG	85	89	277	77	481	21	59	477	34	268	301	18	44	359
TXN	55	26	858	52	618	2	11	492	8	258	585	16	40	430
TXN2	60	59	184	56	321	22	68	225	44	157	180	66	45	231
TXNDC11	137	64	806	202	1031	20	97	589	74	696	631	81	79	1013
TXNDC12	117	59	682	82	775	13	56	608	50	371	508	46	56	593
TXNDC15	186	111	786	174	929	28	118	899	63	568	726	40	72	816
TXNDC16	267	88	1360	262	1228	17	181	1462	67	1798	2318	60	136	2434
TXNDC17	31	12	123	31	123	2	6	83	10	61	105	0	7	128
TXNDC2	18	0	0	1	1	0	1	0	3	0	0	1	4	0
TXNDC5	286	371	2519	849	3217	26	297	1783	147	2219	2054	123	154	2824
TXNDC8	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNDC9	37	9	184	33	278	2	12	217	7	125	256	6	8	171
TXNIP	1161	945	5948	1169	7676	173	585	5003	669	4615	4841	444	524	4614
TXNL1	148	42	1253	211	815	11	54	725	36	486	790	26	30	770
TXNL4A	23	8	235	32	184	3	22	166	16	135	203	12	7	175
TXNL4B	22	37	111	34	160	3	26	121	9	69	125	15	29	132
TXNRD1	193	156	1520	278	1466	58	222	1520	94	603	1471	119	201	1033
TXNRD2	56	13	198	43	206	3	23	150	12	137	146	17	19	372
TXNRD3	48	19	162	58	165	9	16	141	23	84	135	18	14	117
TXNRD3NB	8	0	3	6	7	1	0	5	2	9	9	2	1	9
TYK2	58	62	158	88	365	8	72	273	40	200	263	66	51	218
TYMP	17	27	33	17	165	2	18	197	4	34	60	9	3	36
TYMS	19	8	18	9	56	5	6	23	9	26	45	8	1	24
TYR	18	2	0	0	1	0	1	0	2	0	0	2	1	0
TYRO3	26	22	105	34	138	4	9	79	9	35	91	20	3	43
TYROBP	20	94	21	16	117	35	65	112	29	52	38	31	47	47
TYRP1	11	0	2	0	3	1	3	0	6	0	1	3	0	2
TYSND1	26	18	56	24	149	15	23	135	20	71	96	33	32	95
TYW1	88	22	351	83	613	16	75	456	40	322	397	29	44	466
TYW1B	71	39	81	43	266	7	48	254	17	116	86	11	35	322
TYW3	122	40	396	111	593	27	98	573	75	363	473	21	69	404
TYW5	58	45	99	48	176	20	63	158	36	118	190	20	39	142
U2AF1	53	90	129	82	139	17	62	166	52	139	140	49	58	148
U2AF1L4	9	2	25	6	45	1	1	40	6	17	43	4	5	17
U2AF2	178	222	811	120	1031	37	108	807	70	607	884	120	114	764
U2SURP	443	278	1844	393	2583	88	237	2146	162	1444	2248	119	180	2034
UACA	307	262	887	322	1671	38	212	1781	169	1051	1325	88	159	1244
UAP1	121	43	5063	573	1013	26	120	940	59	868	3008	51	90	1782
UAP1L1	30	28	61	29	142	7	28	155	15	96	168	46	24	74
UBA1	225	266	1008	287	1230	54	176	876	112	878	929	145	181	1115
UBA2	184	77	951	180	1561	24	150	1076	97	603	1199	68	90	940
UBA3	110	26	764	121	913	6	73	727	56	389	841	10	37	562
UBA5	122	67	560	155	812	13	79	602	49	457	715	27	40	625
UBA52	166	154	1265	253	1847	62	212	1321	201	809	1118	200	144	1060
UBA6	268	78	1053	257	1694	24	147	1202	88	844	1221	61	122	1262
UBA7	151	127	109	60	744	20	58	653	53	189	491	63	28	265
UBAC1	41	10	141	33	245	11	30	230	28	98	161	30	28	187
UBAC2	99	60	340	84	461	18	66	423	60	262	362	33	46	427
UBAP1	111	141	432	115	668	26	158	533	100	355	455	107	113	441
UBAP1L	7	3	11	7	10	3	11	16	9	8	10	14	7	8
UBAP2	152	150	509	197	695	42	173	523	100	556	502	99	120	564
UBAP2L	306	348	1057	461	1130	76	318	1144	197	869	1052	208	227	953
UBASH3A	25	16	6	8	7	5	6	22	3	11	11	16	1	17
UBASH3B	45	12	37	10	43	3	12	72	16	26	29	12	10	20
UBB	748	430	3144	363	3316	34	141	3151	91	1809	3162	69	129	2424
UBC	2924	1402	14344	1883	17369	204	756	13536	600	6576	10111	464	684	9172
UBD	41	18	147	33	191	4	34	458	1	40	128	32	11	127
UBE2A	82	65	216	93	376	23	85	294	43	169	304	50	89	231
UBE2B	56	43	265	129	363	15	69	320	45	178	274	30	86	313
UBE2C	9	15	18	7	17	3	5	12	2	7	15	11	11	13
UBE2D1	51	7	189	32	265	4	23	259	21	146	247	12	12	191
UBE2D2	77	80	419	123	532	47	102	479	56	254	446	43	86	345
UBE2D3	302	268	2363	398	2487	110	331	2165	236	1199	2141	136	301	1955
UBE2D4	76	34	187	41	312	19	73	273	42	180	267	56	56	274
UBE2E1	97	66	1028	209	977	45	138	664	62	430	680	62	85	610
UBE2E2	27	4	199	40	166	9	24	124	9	104	136	10	15	172
UBE2E3	93	45	391	88	389	18	64	396	36	115	406	36	22	218
UBE2F	42	19	159	49	308	19	46	253	40	131	221	27	40	207
UBE2G1	184	116	1596	255	1225	55	177	903	79	730	1359	101	153	1108
UBE2G2	133	190	387	179	766	40	167	759	92	450	591	97	107	571
UBE2H	488	330	2855	679	2914	204	430	2384	270	1829	2010	275	476	2690
UBE2I	85	83	542	111	419	15	57	429	36	229	433	64	29	287
UBE2J1	362	270	1764	509	1846	63	330	1502	176	1463	2442	129	242	2802
UBE2J2	29	29	210	30	185	1	30	149	18	111	153	22	18	134
UBE2K	171	110	654	272	763	59	215	698	176	515	692	91	191	715
UBE2L3	172	97	726	113	920	34	104	752	75	553	755	49	100	802
UBE2L6	63	47	108	30	382	18	40	362	26	151	185	47	29	181
UBE2M	34	33	119	20	167	5	37	141	13	99	135	48	28	111
UBE2N	148	86	1087	202	842	34	105	685	69	500	852	54	100	722
UBE2NL	5	0	0	0	1	0	0	0	3	0	0	0	2	0
UBE2O	79	80	258	87	305	11	43	263	30	244	250	54	29	237
UBE2Q1	122	112	812	160	932	20	70	686	73	452	698	77	65	650
UBE2Q2	179	71	500	98	915	35	90	683	71	538	687	27	61	547
UBE2QL1	58	17	26	15	74	12	18	128	28	24	76	19	8	28
UBE2R2	180	154	978	301	821	49	189	766	128	712	845	139	182	956
UBE2S	6	8	50	7	87	0	7	68	8	33	72	7	3	42
UBE2T	20	0	25	1	31	0	3	23	1	8	22	2	1	17
UBE2U	9	0	0	0	0	0	0	0	1	0	0	0	0	0
UBE2V1	57	66	506	102	427	40	40	470	20	418	447	20	48	569
UBE2V2	78	28	326	79	374	9	61	390	41	174	344	11	42	285
UBE2W	155	85	593	168	918	69	141	749	103	381	633	49	203	605
UBE2Z	111	93	784	244	920	74	168	758	147	501	646	161	197	636
UBE3A	405	201	2076	477	2459	66	298	2034	189	1375	1835	140	231	1906
UBE3B	205	102	481	145	736	39	140	731	100	570	701	112	103	701
UBE3C	240	125	1185	303	1477	82	261	1258	125	840	1331	157	172	1054
UBE3D	24	0	15	2	27	0	9	43	7	19	35	3	6	42
UBE4A	358	240	1293	280	2377	56	219	1675	150	1203	1133	123	183	1928
UBE4B	278	193	1088	348	1282	37	311	1115	155	932	1056	149	193	1191
UBFD1	149	48	761	170	701	61	156	632	108	594	609	139	187	828
UBIAD1	42	13	125	35	186	8	28	138	18	108	124	36	27	162
UBL3	95	59	569	148	702	22	103	628	92	392	643	56	88	741
UBL4A	28	38	122	27	164	3	23	124	13	83	116	28	17	139
UBL4B	1	3	1	0	0	1	1	0	1	0	0	0	0	0
UBL5	31	36	112	43	154	7	30	103	20	64	104	4	21	58
UBL7	28	19	120	16	104	7	16	87	9	76	96	11	8	112
UBLCP1	80	62	383	82	581	18	57	465	35	208	439	27	39	303
UBN1	168	127	520	168	749	33	95	598	92	504	572	88	81	544
UBN2	376	271	1247	630	1229	144	479	1263	297	1119	1324	220	443	1485
UBOX5	70	49	81	23	87	7	31	104	15	79	94	38	15	71
UBP1	200	115	402	143	1049	64	243	1121	178	640	876	139	182	831
UBQLN1	316	150	2220	370	2419	35	219	1940	124	1132	1905	110	155	1677
UBQLN2	84	45	399	115	517	28	49	492	46	317	441	32	68	448
UBQLN3	13	5	1	1	0	4	8	3	4	18	4	4	12	2
UBQLN4	84	94	189	60	302	20	79	281	61	255	284	115	80	301
UBQLNL	11	2	1	2	2	2	4	6	2	21	6	5	2	6
UBR1	268	96	770	231	1758	50	228	1471	141	802	1069	99	165	1275
UBR2	360	181	1214	373	1788	43	259	1724	180	1079	1423	115	231	1711
UBR3	437	144	1318	378	2421	38	267	2143	142	1457	1976	130	173	2191
UBR4	960	899	3070	1342	3928	204	830	4017	547	3175	3279	615	502	3763
UBR5	668	359	2173	719	3949	131	448	3033	312	2177	2443	257	484	3037
UBR7	103	45	416	86	740	20	63	505	38	333	481	40	63	530
UBTD1	2	0	4	0	19	1	2	18	0	7	11	3	4	13
UBTD2	102	38	347	78	365	33	82	402	64	270	399	60	60	346
UBTF	351	323	1003	221	1662	46	146	1507	86	1053	1250	149	147	1356
UBTFL1	11	1	0	0	0	0	0	0	0	0	0	1	1	1
UBXN1	59	88	372	54	477	4	41	412	20	177	353	62	22	261
UBXN10	19	6	13	6	27	3	9	56	7	13	41	14	6	7
UBXN11	23	24	47	12	100	4	12	67	15	42	89	8	13	41
UBXN2A	42	69	127	39	197	3	25	215	26	111	159	12	24	133
UBXN2B	107	38	510	162	578	22	142	490	91	391	555	60	83	522
UBXN4	464	270	2610	685	3266	145	499	2570	262	1764	2788	165	385	2662
UBXN6	142	82	456	94	664	11	53	472	49	365	509	51	27	500
UBXN7	220	209	712	291	925	98	223	813	177	684	770	165	216	861
UBXN8	24	17	114	17	196	1	12	94	2	82	94	5	9	128
UCHL1	24	8	50	10	23	4	2	57	3	9	53	11	4	16
UCHL3	43	15	204	29	316	4	26	190	6	156	201	5	6	194
UCHL5	132	49	403	156	393	36	113	412	60	385	462	44	88	503
UCK1	26	15	114	28	179	11	20	142	14	92	125	19	26	116
UCK2	60	39	341	74	220	7	58	226	38	169	335	56	27	132
UCKL1	54	43	201	47	179	8	17	182	20	125	197	28	19	115
UCMA	4	0	0	0	0	0	0	0	2	0	0	7	0	0
UCN	0	0	1	1	2	0	0	1	0	0	0	0	0	1
